"constraint_name","child_table","child_column","parent_table","parent_column"
"rentas_contratos_ibfk_1","rentas_contratos","id_contrato_tesoreria","tesoreria_contratos","id_contrato"
"rentas_contratos_docs_ibfk_2","rentas_contratos_docs","created_by","iam_users","user_id"
"rentas_contratos_docs_ibfk_3","rentas_contratos_docs","updated_by","iam_users","user_id"
"rentas_contratos_docs_ibfk_1","rentas_contratos_docs","id_rentas_contrato","rentas_contratos","id_rentas_contrato"
"rentas_inmuebles_ibfk_2","rentas_inmuebles","created_by","iam_users","user_id"
"rentas_inmuebles_ibfk_3","rentas_inmuebles","updated_by","iam_users","user_id"
"rentas_inmuebles_ibfk_1","rentas_inmuebles","id_ubicacion","rentas_ubicaciones","id_ubicacion"
"rentas_inmuebles_contratos_ibfk_3","rentas_inmuebles_contratos","created_by","iam_users","user_id"
"rentas_inmuebles_contratos_ibfk_4","rentas_inmuebles_contratos","updated_by","iam_users","user_id"
"rentas_inmuebles_contratos_ibfk_2","rentas_inmuebles_contratos","id_rentas_contrato","rentas_contratos","id_rentas_contrato"
"rentas_inmuebles_contratos_ibfk_1","rentas_inmuebles_contratos","id_inmueble","rentas_inmuebles","id_inmueble"
"rentas_ubicaciones_ibfk_1","rentas_ubicaciones","propietario_rfc","general_sociedades","rfc"
"rentas_ubicaciones_ibfk_2","rentas_ubicaciones","created_by","iam_users","user_id"
"rentas_ubicaciones_ibfk_3","rentas_ubicaciones","updated_by","iam_users","user_id"
"rrhh_puestos_ibfk_3","rrhh_puestos","sociedad","general_sociedades","rfc"
"rrhh_puestos_ibfk_1","rrhh_puestos","id_empleado","rrhh_empleados","id_empleado"
"rrhh_puestos_ibfk_2","rrhh_puestos","id_supervisor","rrhh_empleados","id_empleado"
"tesoreria_contrapartes_relacion_ibfk_1","tesoreria_contrapartes_relacion","id_contraparte","tesoreria_contrapartes","id_contraparte"
"tesoreria_contrapartes_relacion_ibfk_2","tesoreria_contrapartes_relacion","id_contraparte_relacion","tesoreria_contrapartes","id_contraparte"
"tesoreria_contratos_ibfk_1","tesoreria_contratos","sociedad","general_sociedades","rfc"
"fk_tes_contratos_contrapartes_id","tesoreria_contratos","id_contraparte","tesoreria_contrapartes","id_contraparte"
"tesoreria_cortes_edc_ibfk_1","tesoreria_cortes_edc","cuenta","tesoreria_cuentas","id_cuenta_bancaria"
"fk_cuentas_bancos","tesoreria_cuentas","banco","tesoreria_bancos","id_banxico"
"tesoreria_flujos_ibfk_2","tesoreria_flujos","id_empleado","rrhh_empleados","id_empleado"
"tesoreria_flujos_ibfk_3","tesoreria_flujos","id_empleado_reembolso","rrhh_empleados","id_empleado"
"tesoreria_flujos_ibfk_5","tesoreria_flujos","complemento_uuid","tesoreria_complementos_pago","Timbre_UUID"
"tesoreria_flujos_ibfk_1","tesoreria_flujos","id_contrato","tesoreria_contratos","id_contrato"
"fk_flujos_cuenta","tesoreria_flujos","cuenta","tesoreria_cuentas","id_cuenta_bancaria"
"tesoreria_flujos_ibfk_4","tesoreria_flujos","factura_uuid","tesoreria_facturas","Timbre_UUID"
"tesoreria_flujos_ibfk_6","tesoreria_flujos","nomina_uuid","tesoreria_rec_nominas","Timbre_UUID"
"tesoreria_notas_credito_ibfk_1","tesoreria_notas_credito","UUID_Relacionado","tesoreria_facturas","Timbre_UUID"
"tickets_ibfk_2","tickets","asignado_a","iam_users","user_id"
"tickets_ibfk_3","tickets","created_by","iam_users","user_id"
"tickets_ibfk_4","tickets","updated_by","iam_users","user_id"
"tickets_ibfk_1","tickets","id_subproyecto","tickets_subproyectos","id_subproyecto"
"tickets_centros_ibfk_1","tickets_centros","created_by","iam_users","user_id"
"tickets_centros_ibfk_2","tickets_centros","updated_by","iam_users","user_id"
"tickets_dependencias_ibfk_3","tickets_dependencias","created_by","iam_users","user_id"
"tickets_dependencias_ibfk_4","tickets_dependencias","updated_by","iam_users","user_id"
"tickets_dependencias_ibfk_1","tickets_dependencias","predecesora","tickets","id_ticket"
"tickets_dependencias_ibfk_2","tickets_dependencias","sucesora","tickets","id_ticket"
"tickets_log_ibfk_2","tickets_log","created_by","iam_users","user_id"
